s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 2.130E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.140E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.150E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.160E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.170E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.180E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.190E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.200E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.210E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.220E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.230E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.240E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.250E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.260E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.270E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.280E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.290E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.300E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
