s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 9.400E+02, 2.201E+03, 0.000E+00,-5.859E+02,-1.611E+03, 2.079E+01, 0.000E+00, 0.000E+00,-2.909E+01,-4.434E+00,-4.277E+00, 0.000E+00, 5.745E-02, 0.000E+00, 0.000E+00
 9.500E+02, 2.174E+03, 0.000E+00,-5.972E+02,-1.575E+03, 2.188E+01, 0.000E+00, 0.000E+00,-2.901E+01,-5.046E+00,-5.863E+00, 0.000E+00, 5.718E-02, 0.000E+00, 0.000E+00
 9.600E+02, 2.061E+03, 0.000E+00,-5.610E+02,-1.506E+03, 2.192E+01, 0.000E+00, 0.000E+00,-2.925E+01,-1.327E+01,-1.307E+01, 0.000E+00, 5.781E-02, 0.000E+00, 0.000E+00
 9.700E+02, 2.123E+03, 0.000E+00,-5.628E+02,-1.529E+03, 2.191E+01, 0.000E+00, 0.000E+00,-2.923E+01, 2.300E+01, 2.396E+01, 0.000E+00, 5.771E-02, 0.000E+00, 0.000E+00
 9.800E+02, 2.130E+03, 0.000E+00,-5.693E+02,-1.560E+03, 2.146E+01, 0.000E+00, 0.000E+00,-2.906E+01,-6.040E+00,-6.566E+00, 0.000E+00, 5.736E-02, 0.000E+00, 0.000E+00
 9.900E+02, 2.159E+03, 0.000E+00,-5.885E+02,-1.574E+03, 2.104E+01, 0.000E+00, 0.000E+00,-2.924E+01,-1.158E+01,-1.183E+01, 0.000E+00, 5.776E-02, 0.000E+00, 0.000E+00
 1.000E+03, 2.145E+03, 0.000E+00,-5.858E+02,-1.547E+03, 2.282E+01, 0.000E+00, 0.000E+00,-2.897E+01, 6.655E+00, 6.571E+00, 0.000E+00, 5.719E-02, 0.000E+00, 0.000E+00
 1.010E+03, 2.147E+03, 0.000E+00,-5.828E+02,-1.550E+03, 2.253E+01, 0.000E+00, 0.000E+00,-2.916E+01, 6.567E+00, 7.304E+00, 0.000E+00, 5.745E-02, 0.000E+00, 0.000E+00
 1.020E+03, 2.227E+03, 0.000E+00,-6.173E+02,-1.585E+03, 2.250E+01, 0.000E+00, 0.000E+00,-2.900E+01, 1.823E+01, 1.817E+01, 0.000E+00, 5.727E-02, 0.000E+00, 0.000E+00
 1.030E+03, 2.121E+03, 0.000E+00,-5.859E+02,-1.560E+03, 2.195E+01, 0.000E+00, 0.000E+00,-2.904E+01,-3.284E+01,-3.255E+01, 0.000E+00, 5.737E-02, 0.000E+00, 0.000E+00
 1.040E+03, 2.199E+03, 0.000E+00,-5.924E+02,-1.603E+03, 2.291E+01, 0.000E+00, 0.000E+00,-2.889E+01,-1.276E+00,-1.752E+00, 0.000E+00, 5.701E-02, 0.000E+00, 0.000E+00
 1.050E+03, 2.115E+03, 0.000E+00,-5.712E+02,-1.516E+03, 2.312E+01, 0.000E+00, 0.000E+00,-2.931E+01, 2.106E+01, 2.203E+01, 0.000E+00, 5.777E-02, 0.000E+00, 0.000E+00
