s,kW,kW
Time,qdot1,qdot2
 3.4112644E+002, 1.4824413E+000, 1.0900450E+001
 3.4207313E+002, 1.4824174E+000, 1.0898833E+001
 3.4301983E+002, 1.4823951E+000, 1.0896669E+001
 3.4428209E+002, 1.4823682E+000, 1.0893630E+001
 3.4522879E+002, 1.4823410E+000, 1.0890471E+001
 3.4617549E+002, 1.4823169E+000, 1.0888201E+001
 3.4712218E+002, 1.4822926E+000, 1.0886446E+001
 3.4806888E+002, 1.4822691E+000, 1.0885079E+001
 3.4901558E+002, 1.4822458E+000, 1.0884077E+001
 3.5027784E+002, 1.4822176E+000, 1.0883538E+001
 3.5122454E+002, 1.4821885E+000, 1.0883772E+001
 3.5217123E+002, 1.4821633E+000, 1.0884631E+001
 3.5311793E+002, 1.4821384E+000, 1.0885678E+001
 3.5406463E+002, 1.4821143E+000, 1.0886225E+001
 3.5501132E+002, 1.4820909E+000, 1.0885897E+001
 3.5627359E+002, 1.4820642E+000, 1.0885279E+001
 3.5722028E+002, 1.4820375E+000, 1.0885612E+001
 3.5816698E+002, 1.4820144E+000, 1.0886773E+001
 3.5911368E+002, 1.4819915E+000, 1.0888111E+001
 3.6006037E+002, 1.4819691E+000, 1.0889121E+001
 3.6100707E+002, 1.4819474E+000, 1.0889912E+001
 3.6226933E+002, 1.4819233E+000, 1.0891098E+001
 3.6321603E+002, 1.4818990E+000, 1.0892795E+001
 3.6416273E+002, 1.4818777E+000, 1.0894651E+001
 3.6510942E+002, 1.4818568E+000, 1.0896738E+001
 3.6605612E+002, 1.4818371E+000, 1.0898791E+001
 3.6700282E+002, 1.4818181E+000, 1.0900531E+001
 3.6826508E+002, 1.4817959E+000, 1.0901779E+001
 3.6921178E+002, 1.4817734E+000, 1.0902481E+001
 3.7015847E+002, 1.4817544E+000, 1.0903279E+001
 3.7110517E+002, 1.4817363E+000, 1.0904967E+001
 3.7205187E+002, 1.4817187E+000, 1.0907472E+001
 3.7331413E+002, 1.4816987E+000, 1.0910300E+001
 3.7426083E+002, 1.4816788E+000, 1.0911907E+001
 3.7520752E+002, 1.4816619E+000, 1.0911969E+001
 3.7615422E+002, 1.4816460E+000, 1.0911174E+001
 3.7710092E+002, 1.4816364E+000, 1.0909823E+001
 3.7804761E+002, 1.4816285E+000, 1.0908065E+001
 3.7930988E+002, 1.4816189E+000, 1.0905831E+001
 3.8025657E+002, 1.4816089E+000, 1.0903639E+001
 3.8120327E+002, 1.4815992E+000, 1.0901909E+001
 3.8214997E+002, 1.4815885E+000, 1.0900209E+001
 3.8309666E+002, 1.4815763E+000, 1.0898426E+001
 3.8404336E+002, 1.4815626E+000, 1.0896796E+001
 3.8530562E+002, 1.4815453E+000, 1.0895492E+001
 3.8625232E+002, 1.4815341E+000, 1.0894659E+001
 3.8719902E+002, 1.4815247E+000, 1.0893875E+001
 3.8814571E+002, 1.4815133E+000, 1.0892879E+001
 3.8909241E+002, 1.4815003E+000, 1.0891980E+001
 3.9003911E+002, 1.4814859E+000, 1.0891483E+001
 3.9130137E+002, 1.4814672E+000, 1.0891711E+001
 3.9224807E+002, 1.4814480E+000, 1.0892558E+001
 3.9319476E+002, 1.4814380E+000, 1.0893522E+001
 3.9414146E+002, 1.4814299E+000, 1.0894597E+001
 3.9508816E+002, 1.4814221E+000, 1.0895844E+001
 3.9603485E+002, 1.4814149E+000, 1.0897440E+001
 3.9729712E+002, 1.4814076E+000, 1.0899844E+001
 3.9824381E+002, 1.4814017E+000, 1.0902421E+001
 3.9919051E+002, 1.4813978E+000, 1.0904618E+001
