m,Pa
p-x,p
 6.1623000E+002, 1.8412869E+001
 6.1722875E+002, 1.8412869E+001
 6.1822750E+002, 1.8395079E+001
 6.1922625E+002, 1.8395079E+001
 6.2022500E+002, 1.8378312E+001
 6.2122375E+002, 1.8378312E+001
 6.2222250E+002, 1.8361188E+001
 6.2322125E+002, 1.8361188E+001
 6.2422000E+002, 1.8344263E+001
 6.2521875E+002, 1.8344263E+001
 6.2621750E+002, 1.8327291E+001
 6.2721625E+002, 1.8327291E+001
 6.2821500E+002, 1.8310280E+001
 6.2921375E+002, 1.8310280E+001
 6.3021250E+002, 1.8293342E+001
 6.3121125E+002, 1.8293342E+001
 6.3221000E+002, 1.8275057E+001
 6.3320875E+002, 1.8275057E+001
 6.3420750E+002, 1.8257600E+001
 6.3520625E+002, 1.8257600E+001
 6.3620500E+002, 1.8239867E+001
 6.3720375E+002, 1.8239867E+001
 6.3820250E+002, 1.8222065E+001
 6.3920125E+002, 1.8222065E+001
 6.4020000E+002, 1.8205227E+001
 6.4119875E+002, 1.8205227E+001
 6.4219750E+002, 1.8187406E+001
 6.4319625E+002, 1.8187406E+001
 6.4419500E+002, 1.8170144E+001
 6.4519375E+002, 1.8170144E+001
 6.4619250E+002, 1.8153191E+001
 6.4719125E+002, 1.8153191E+001
 6.4819000E+002, 1.8135724E+001
 6.4918875E+002, 1.8135724E+001
 6.5018750E+002, 1.8118787E+001
 6.5118625E+002, 1.8118787E+001
 6.5218500E+002, 1.8102587E+001
 6.5318375E+002, 1.8102587E+001
 6.5418250E+002, 1.8085645E+001
 6.5518125E+002, 1.8085645E+001
 6.5618000E+002, 1.8067856E+001
 6.5717875E+002, 1.8067856E+001
 6.5817750E+002, 1.8051030E+001
 6.5917625E+002, 1.8051030E+001
 6.6017500E+002, 1.8033718E+001
 6.6117375E+002, 1.8033718E+001
 6.6217250E+002, 1.8016964E+001
 6.6317125E+002, 1.8016964E+001
 6.6417000E+002, 1.7999166E+001
 6.6516875E+002, 1.7999166E+001
 6.6616750E+002, 1.7982566E+001
 6.6716625E+002, 1.7982566E+001
 6.6816500E+002, 1.7964921E+001
